kmeans_constrained,x_min,x_max,y_min,y_max,x_diff,y_diff
215,-13625981.223787634,-13625347.81092679,4542321.469858499,4542823.301658589,633.4128608442843,501.83180009014904
216,-13634219.863023525,-13633657.08733782,4547419.642897842,4547989.4415480625,562.7756857052445,569.7986502200365
217,-13632419.181204353,-13631903.03725334,4540223.624144739,4540659.225370478,516.1439510118216,435.60122573934495
218,-13625487.301246794,-13625028.092491044,4548074.405117181,4548381.844376182,459.2087557502091,307.43925900105387
219,-13633074.251879875,-13632653.119114252,4542039.2863053465,4542065.101553063,421.13276562280953,25.815247716382146
22,-13634477.45632522,-13633923.43035149,4540112.444431102,4540291.3176903855,554.0259737297893,178.87325928360224
220,-13626522.042311527,-13625902.70519255,4542748.876998322,4543211.368641914,619.3371189776808,462.49164359178394
221,-13627087.133442638,-13626722.528714444,4549468.1725584585,4549756.20608121,364.60472819395363,288.0335227511823
222,-13626167.523129197,-13625909.101005282,4549872.10914316,4550101.82020424,258.4221239145845,229.7110610799864
223,-13629414.107239788,-13629023.357873801,4544177.17155639,4544396.086435818,390.74936598725617,218.91487942822278
224,-13628131.443849668,-13627555.192939602,4548429.6389836185,4548984.744306191,576.2509100660682,555.1053225724027
225,-13628652.118503956,-13628173.611672783,4547737.63187904,4548368.455893847,478.5068311728537,630.82401480712
226,-13629432.53492611,-13629213.200063955,4540617.012823943,4540949.457880027,219.3348621558398,332.44505608361214
227,-13627849.10422517,-13627468.522927096,4544410.468840028,4544762.52804714,380.5812980737537,352.05920711159706
228,-13623578.988745881,-13623351.544572437,4542500.182630392,4542762.7173221735,227.44417344406247,262.5346917817369
229,-13632707.25340446,-13632093.217411302,4545883.196790871,4546405.254119933,614.0359931588173,522.0573290614411
23,-13636917.880126033,-13636170.45880095,4547202.664324041,4547817.683427698,747.421325083822,615.0191036565229
230,-13627655.41944314,-13627236.724574367,4547051.159602881,4547544.998039343,418.69486877322197,493.8384364619851
231,-13636815.419208435,-13636071.929131597,4545699.946934261,4545900.124867283,743.4900768380612,200.17793302144855
232,-13627429.59658441,-13626918.575251745,4539826.847733896,4540281.024041512,511.02133266441524,454.17630761582404
233,-13634411.154436504,-13633936.454731913,4541047.194834156,4541484.470997691,474.69970459118485,437.2761635351926
234,-13629773.718033446,-13629152.577538716,4546827.645080241,4547529.238782905,621.1404947303236,701.5937026636675
235,-13632167.610287108,-13631782.634092096,4549220.164163681,4549882.209167276,384.9761950112879,662.0450035948306
236,-13626178.543758783,-13625602.632373165,4551280.473912784,4551887.085036072,575.9113856181502,606.6111232880503
237,-13625743.354762005,-13625259.985414531,4548802.505857521,4549234.27796045,483.36934747360647,431.77210292965174
238,-13627692.555625265,-13627344.103355188,4544911.8290646365,4545237.827486829,348.45227007754147,325.99842219240963
239,-13626297.132412326,-13626093.907549934,4550458.602933365,4550674.831024462,203.22486239112914,216.22809109743685
24,-13627467.679121915,-13627016.63480912,4546540.0023675095,4547028.926476824,451.04431279562414,488.92410931456834
240,-13634872.618253637,-13634467.927376807,4540313.708729151,4540557.39558284,404.69087683036923,243.68685368914157
241,-13627613.129168587,-13627221.240033196,4549658.545934757,4550366.359754122,391.8891353905201,707.8138193646446
242,-13626380.839333653,-13626180.843343178,4540536.00681943,4540957.890377829,199.9959904756397,421.883558399044
243,-13625833.353149783,-13625565.841281459,4549511.726411824,4549809.382155649,267.5118683241308,297.6557438252494
244,-13626966.485378519,-13626379.0746895,4550567.625057173,4551044.34084295,587.4106890186667,476.7157857771963
245,-13626496.093738222,-13626140.175412824,4547763.630256106,4548119.3967461,355.9183253981173,355.76648999378085
246,-13626248.71956578,-13625982.576927194,4550626.5952462815,4550770.232585218,266.14263858646154,143.6373389363289
247,-13625956.427978804,-13625471.264242081,4550583.117364089,4551072.312773089,485.1637367233634,489.1954089999199
248,-13629297.181557257,-13628749.17796798,4546814.1682517035,4547274.5871521635,548.0035892762244,460.4189004600048
249,-13626025.647035375,-13625634.658990668,4546030.10417431,4546469.423669708,390.98804470710456,439.3194953976199
25,-13635938.491246033,-13635386.868271474,4542796.4570020195,4543144.704850452,551.6229745596647,348.2478484325111
250,-13635269.004696455,-13634827.032922158,4543098.242533856,4543166.002611827,441.97177429683506,67.76007797103375
251,-13627188.055692993,-13626659.332639521,4546212.178785683,4546576.925412357,528.7230534721166,364.7466266741976
252,-13628809.66756433,-13628295.99632096,4543597.08497239,4544057.671416512,513.671243371442,460.58644412178546
253,-13629745.031000666,-13629571.233164756,4540003.883510578,4540171.960788286,173.7978359106928,168.07727770786732
254,-13625616.970323581,-13625031.285086669,4547173.457735043,4547399.658884318,585.6852369122207,226.20114927459508
255,-13626432.51917703,-13626283.751809534,4551017.756660719,4551314.102988821,148.76736749708652,296.3463281020522
256,-13626929.382592237,-13626594.555827828,4552295.198460889,4552561.540953249,334.826764408499,266.34249235969037
257,-13626475.087750308,-13626080.849773664,4543985.138541089,4544758.276798181,394.23797664418817,773.138257091865
258,-13627458.801392525,-13627043.607521739,4552072.024717542,4552496.416533643,415.19387078657746,424.39181610103697
259,-13628507.777111728,-13628034.150614716,4546002.677178428,4546435.873608485,473.6264970116317,433.1964300572872
26,-13632393.164839827,-13631880.66203569,4550807.3227762915,4551184.363260669,512.5028041359037,377.040484377183
260,-13626910.513938546,-13626544.211280826,4548614.8242466515,4548969.070040032,366.30265771970153,354.24579338077456
261,-13632034.72478228,-13631814.783161039,4542763.957826667,4543216.70401258,219.94162124209106,452.74618591275066
262,-13627245.355005909,-13626882.583878307,4548899.707247261,4549243.546312452,362.77112760208547,343.839065191336
263,-13625312.97905812,-13624985.859093051,4550348.63811294,4550565.660678679,327.11996506899595,217.02256573922932
264,-13636465.71148638,-13635906.52028828,4547782.143224524,4548371.469969499,559.1911981012672,589.3267449745908
265,-13629918.610071974,-13629579.287410825,4548332.371560568,4548729.237217426,339.3226611483842,396.8656568583101
266,-13627526.067621656,-13627109.965070201,4548119.242303194,4548491.10412554,416.1025514546782,371.8618223462254
267,-13628377.159361698,-13628194.614149861,4551251.930844279,4551547.635758031,182.54521183669567,295.7049137521535
268,-13633558.202234149,-13633230.967459012,4543172.050282176,4543228.979598734,327.23477513715625,56.92931655794382
269,-13632759.885637872,-13632457.51057415,4548733.166121797,4548854.888293441,302.37506372109056,121.7221716446802
27,-13626734.17273318,-13626640.074367613,4552600.7397943735,4552795.313079225,94.09836556762457,194.57328485138714
270,-13628141.338995611,-13627790.694888351,4549873.930038468,4550379.122735382,350.64410725980997,505.1926969140768
271,-13627822.414387807,-13627283.402686264,4541105.845771499,4541230.606572542,539.0117015428841,124.76080104336143
272,-13633653.591905808,-13633255.980948593,4548527.373765769,4548793.5195989525,397.6109572146088,266.14583318307996
273,-13629376.285187416,-13628721.570734262,4547622.583502136,4548293.121602836,654.7144531533122,670.5381006998941
274,-13634763.75942208,-13633808.548636993,4538974.510831213,4539108.308408263,955.210785087198,133.79757705051452
275,-13632156.210228065,-13631996.595556727,4543547.169984518,4543803.428447865,159.61467133834958,256.2584633473307
276,-13627309.140118634,-13626918.945360802,4543702.726915293,4544100.883691594,390.19475783221424,398.15677630063146
277,-13625232.316955091,-13624803.224845883,4547712.323662096,4548032.265175106,429.09210920892656,319.9415130103007
278,-13634460.079352707,-13633998.767497022,4542207.339929006,4542667.989649655,461.31185568496585,460.64972064923495
279,-13626968.644976638,-13626553.412144031,4547978.623674757,4548392.687585303,415.23283260688186,414.06391054578125
28,-13622519.906242425,-13621767.241769323,4553487.543841229,4553918.134716243,752.6644731014967,430.5908750137314
280,-13625289.345930226,-13624433.889039326,4543772.315470065,4544229.418101447,855.456890899688,457.10263138171285
281,-13627234.886661991,-13626665.098989144,4545812.002979661,4546147.713661425,569.7876728475094,335.7106817634776
282,-13628060.232771408,-13627651.211566387,4545761.170670938,4546170.5538148945,409.02120502106845,409.383143956773
283,-13626228.826772776,-13625984.782796778,4550783.179202275,4550993.908739658,244.0439759977162,210.7295373827219
284,-13624023.548616098,-13623797.634085717,4540747.067284222,4541240.5676149195,225.91453038156033,493.5003306977451
285,-13630354.41615717,-13630078.944945252,4547650.511030226,4548327.194706374,275.4712119176984,676.6836761478335
286,-13625975.396820037,-13625635.137664476,4546779.84959363,4547136.469888203,340.25915556028485,356.6202945727855
287,-13624506.502743173,-13624221.658846958,4549749.360121565,4550000.099852809,284.84389621578157,250.73973124381155
288,-13627184.771768015,-13626654.701748703,4551821.017769953,4552160.661581121,530.0700193122029,339.6438111681491
289,-13626704.917971,-13626457.215591658,4549323.89115648,4549688.450999827,247.70237934216857,364.5598433474079
29,-13631841.555498574,-13631389.064032398,4540292.22402915,4540700.683016175,452.4914661757648,408.45898702554405
290,-13631033.754481683,-13630656.60789934,4539224.123296318,4539981.714208119,377.14658234268427,757.5909118009731
291,-13624640.15292382,-13624477.721422836,4541450.727800332,4541737.095012185,162.4315009843558,286.367211853154
292,-13628592.139562318,-13628196.933106106,4546716.549780331,4547080.074793702,395.2064562123269,363.52501337137073
293,-13631483.600637442,-13630962.777174352,4547258.891570903,4547472.638039785,520.8234630897641,213.74646888207644
294,-13633336.387016792,-13633197.332951292,4542280.451631914,4542527.528760257,139.05406549945474,247.07712834328413
295,-13628060.255035305,-13627673.731499376,4547535.893638315,4547963.479103168,386.52353592962027,427.58546485286206
296,-13625445.293404879,-13625220.580471609,4549316.411622556,4549607.553982393,224.7129332702607,291.14235983695835
297,-13624569.181182466,-13624252.505061029,4546589.697830962,4547100.407689436,316.6761214379221,510.70985847432166
298,-13633350.424404582,-13632836.618162878,4546096.474655535,4546565.126248273,513.806241704151,468.6515927379951
299,-13629729.63551509,-13628936.3282959,4545994.318404494,4546534.563712479,793.307219190523,540.2453079847619
3,-13629462.563863793,-13629049.64040558,4548885.453052462,4549409.099986307,412.9234582129866,523.6469338452443
30,-13634469.908863746,-13634103.623980433,4545046.6382447425,4545312.815277473,366.284883312881,266.1770327305421
31,-13624930.585475298,-13624508.940640021,4547952.845752176,4548336.216606522,421.6448352765292,383.3708543460816
32,-13630064.659232251,-13629666.250197032,4547292.468576725,4547746.374054043,398.4090352188796,453.9054773179814
33,-13626280.568072096,-13625937.370081982,4546880.876611103,4547336.298970976,343.1979901138693,455.4223598726094
34,-13627978.94727923,-13627533.791767498,4549474.145003637,4549744.091834697,445.1555117312819,269.94683105964214
35,-13631485.911989389,-13631244.56716595,4543302.09847002,4543703.404771534,241.3448234386742,401.3063015136868
36,-13626025.613042332,-13625770.707030717,4548948.442092334,4549264.914261805,254.9060116149485,316.4721694709733
37,-13634839.968246989,-13634423.555427779,4546008.837158315,4546074.997254858,416.4128192104399,66.16009654290974
38,-13627734.756844228,-13627283.656871686,4545594.385496033,4546053.227391495,451.0999725423753,458.8418954620138
39,-13628941.584110953,-13628583.665262856,4546394.323127807,4546829.109647822,357.91884809732437,434.786520014517
4,-13629705.690692618,-13629401.96659394,4540331.455526287,4540571.328760217,303.7240986786783,239.8732339302078
40,-13630161.58594097,-13629487.703739231,4549228.601451064,4549791.704505069,673.8822017386556,563.1030540047213
41,-13633220.637010265,-13632973.440949008,4542501.656319224,4542720.371382148,247.19606125727296,218.71506292372942
42,-13631707.293060727,-13631229.91055641,4548557.386603209,4548664.557783412,477.3825043179095,107.17118020262569
43,-13626438.797596311,-13626214.689197447,4550781.840867884,4551007.331509755,224.10839886404574,225.4906418705359
44,-13631374.470047154,-13630804.528381022,4538397.036779358,4538914.016465451,569.9416661318392,516.9796860925853
45,-13628975.590680303,-13628441.55768712,4544299.700043427,4544630.391954961,534.0329931825399,330.69191153440624
46,-13626527.202118423,-13626085.85915075,4548284.33467941,4548750.71525435,441.3429676722735,466.3805749397725
47,-13627657.996489353,-13627299.642350566,4549026.601428609,4549404.278878242,358.35413878783584,377.67744963243604
48,-13625954.209496478,-13625645.292398585,4543345.383541115,4543738.814577117,308.9170978926122,393.43103600200266
49,-13634274.019955797,-13633701.940850034,4542748.706574047,4543421.797619843,572.0791057627648,673.0910457959399
5,-13628202.959496174,-13627933.439871395,4550761.484118608,4551114.274331318,269.5196247790009,352.790212710388
50,-13629457.158797476,-13629265.243995348,4545693.497904752,4545973.400724476,191.91480212844908,279.9028197238222
51,-13632943.896756155,-13632727.591853593,4546088.994137967,4546203.4341484485,216.30490256287158,114.44001048151404
52,-13624490.96810823,-13624032.69359451,4545589.004470028,4546171.08891157,458.2745137196034,582.0844415416941
53,-13627836.859081184,-13627451.315156769,4552063.283291122,4552471.323545168,385.54392441548407,408.04025404620916
54,-13627622.669248948,-13627018.46044877,4542568.9155945815,4542701.578833394,604.2088001780212,132.66323881223798
55,-13633613.772923952,-13632610.027339367,4538578.285446693,4539122.098618705,1003.7455845847726,543.8131720116362
56,-13634094.962554855,-13633799.718371522,4540844.465019481,4541076.76384248,295.2441833335906,232.29882299900055
57,-13630268.254871294,-13629921.138435101,4539294.690740709,4539725.027577141,347.11643619276583,430.3368364321068
58,-13637008.757326804,-13636626.825297734,4541375.1548893675,4542156.225704093,381.93202907033265,781.0708147259429
59,-13632984.963695126,-13632438.940413965,4549041.602341494,4549136.777651118,546.023281160742,95.17530962452292
6,-13624539.063694227,-13623703.432804639,4541583.0753173875,4542177.253502824,835.630889588967,594.1781854368746
60,-13626493.522257984,-13626103.937436057,4545829.23814564,4546655.925959448,389.58482192642987,826.6878138082102
61,-13626452.144803256,-13625938.193846213,4538469.360579598,4538887.007342937,513.9509570430964,417.6467633396387
62,-13629332.191537112,-13629245.666652262,4541791.848851486,4542024.196942619,86.52488484978676,232.34809113293886
63,-13625765.247885317,-13625420.970096141,4549246.7437549485,4549554.9142096285,344.2777891755104,308.1704546799883
64,-13636008.266302861,-13635501.623976652,4548334.900034072,4548724.925686477,506.64232620969415,390.02565240487456
65,-13627754.61067541,-13627502.310615502,4543552.038282542,4544007.312260555,252.30005990713835,455.2739780135453
66,-13637287.993782032,-13636919.27161967,4544547.52639362,4544612.933502342,368.7221623621881,65.40710872132331
67,-13628029.118973732,-13627851.931740237,4546194.6472739875,4546486.321957634,177.1872334945947,291.67468364629894
68,-13625211.233043538,-13624836.186547106,4550093.283601427,4550442.35487859,375.0464964322746,349.07127716299146
69,-13627052.947227018,-13626454.827602986,4547481.904823645,4547916.787081129,598.1196240317076,434.8822574838996
