,0,1
0,-13624215.691438386,4549157.726685058
1,-13632891.426479977,4545949.808968647
2,-13628374.905535204,4545768.3587326715
3,-13629199.256546047,4549085.386693274
4,-13629501.479383944,4540478.239415289
5,-13628010.613446143,4550911.77600923
6,-13624289.910343526,4541891.685388108
7,-13634198.049435347,4548473.295536731
8,-13633726.206497578,4541654.153340831
9,-13624903.028335351,4546627.644826729
10,-13626420.643455837,4549741.196914607
11,-13628468.330295684,4543228.80236463
12,-13629716.017129522,4551280.275683304
13,-13627594.099730102,4547871.5050517535
14,-13637509.107228339,4545830.559256738
15,-13633214.548724137,4548429.140411711
16,-13625438.073371656,4550178.020787154
17,-13627132.698957238,4544563.336596445
18,-13631044.188494844,4546387.750779102
19,-13626846.970690124,4549302.93479941
20,-13626500.546517855,4551150.707114262
21,-13625942.814161679,4541134.117423661
22,-13634185.23777423,4540210.096448177
23,-13636416.68839869,4547754.961695767
24,-13627221.142630976,4546762.907048622
25,-13635615.574975474,4543057.579250669
26,-13632055.026492355,4551056.604508862
27,-13626679.279700778,4552708.145660019
28,-13622030.797922714,4553774.251140218
29,-13631614.63569521,4540454.506411568
30,-13634240.649481338,4545192.940946841
31,-13624705.171060264,4548168.823580718
32,-13629767.484515928,4547574.402521834
33,-13626108.202209435,4547109.527338708
34,-13627769.994847456,4549602.273588034
35,-13631407.572094327,4543421.138906411
36,-13625905.522728179,4549073.605183588
37,-13634597.44949101,4546053.464733196
38,-13627568.97823358,4545803.295890727
39,-13628755.041853778,4546619.091098686
40,-13629915.765528314,4549435.4415962985
41,-13633079.63332148,4542626.939267051
42,-13631499.468880743,4548603.08686396
43,-13626331.392098814,4550928.217298678
44,-13631137.96731904,4538559.158788792
45,-13628747.503244573,4544406.6108089425
46,-13626351.742420224,4548534.2459049495
47,-13627484.563168157,4549227.690255356
48,-13625800.173720183,4543497.131279733
49,-13634049.029322056,4543173.834714578
50,-13629381.836230213,4545810.363894822
51,-13632838.469345896,4546144.714270329
52,-13624229.093953673,4545821.472753466
53,-13627645.70342106,4552246.1314807115
54,-13627288.442606375,4542631.765360415
55,-13633112.426561467,4538738.314898611
56,-13634037.475938216,4541013.543005261
57,-13630041.596226914,4539446.814039693
58,-13636875.779439488,4541846.019530799
59,-13632712.85801405,4549101.11627567
60,-13626334.520362103,4546249.800879483
61,-13626232.506691176,4538738.716248462
62,-13629287.966304898,4541922.549673557
63,-13625565.795553919,4549396.512939618
64,-13635824.871591456,4548585.387402373
65,-13627615.758558098,4543795.702378984
66,-13637161.971347991,4544570.417223619
67,-13627942.447701186,4546292.059334165
68,-13625016.620866273,4550305.439205009
69,-13626719.487679498,4547670.385348228
70,-13626672.546670038,4544586.092916811
71,-13629221.743518904,4551809.232579262
72,-13633050.439600907,4547672.475602418
73,-13625718.43417821,4540589.357202359
74,-13633889.587482523,4552178.649580556
75,-13625984.141370589,4550400.654347519
76,-13625793.959408382,4549900.93983605
77,-13627942.251691418,4555006.844061418
78,-13629910.1444346,4543344.0059997
79,-13628901.972874653,4547276.689303584
80,-13627994.759500861,4550598.213294021
81,-13627830.617275186,4540583.471614473
82,-13625150.221151719,4545928.896298171
83,-13628728.721874774,4549220.943224731
84,-13637180.459393265,4543007.052356199
85,-13628032.834241727,4548090.153210935
86,-13630937.525895154,4546942.619964096
87,-13627916.365817692,4544953.042199919
88,-13625294.376264574,4551085.572816206
89,-13624069.386708202,4544097.398601978
90,-13630084.404524297,4551200.260845188
91,-13629560.586771928,4550982.598937835
92,-13629658.484255593,4544435.3781645
93,-13631081.06178223,4541510.439047068
94,-13636320.339960082,4544640.419216705
95,-13627858.722400574,4546847.454763242
96,-13627536.705493413,4548911.082552171
97,-13622859.582366973,4541680.607123579
98,-13627200.365628408,4545408.367943429
99,-13635538.562988086,4541825.319424913
100,-13635009.857320523,4548512.286029033
101,-13627822.673170494,4549328.66036515
102,-13624222.219480354,4542982.709159184
103,-13627150.097466212,4551684.07384646
104,-13624744.28470858,4541093.468995651
105,-13629749.481169084,4547958.088512976
106,-13631915.99335477,4538985.919761757
107,-13624417.926470153,4547496.943072198
108,-13629276.115317512,4549708.285034296
109,-13636918.557810271,4548657.058245358
110,-13626965.71178047,4548522.824784991
111,-13627203.476002017,4549431.779526395
112,-13637572.364763882,4547353.434313478
113,-13627529.574739378,4544319.129833979
114,-13626206.612784704,4550307.4246601695
115,-13631977.204895228,4548566.997313611
116,-13625002.005378917,4548559.619793896
117,-13632254.83773852,4544093.164224986
118,-13634560.196036497,4543129.968587857
119,-13630697.48667162,4552153.153587178
120,-13627992.85157628,4543034.288628896
121,-13631299.96072165,4549359.2746527735
122,-13635339.905164164,4545814.837810775
123,-13633852.715710005,4548496.9059952805
124,-13630449.378125716,4548943.345962061
125,-13625903.361597613,4547752.299159654
126,-13633023.726380097,4546986.378586965
127,-13630642.984571008,4547703.3513391735
128,-13625373.498484097,4549820.5209426945
129,-13627997.988907699,4552004.930217791
130,-13636856.190046206,4545127.099275588
131,-13633766.68406952,4546054.694578746
132,-13626174.368698705,4548999.412558293
133,-13624736.942224,4550112.051279692
134,-13629037.15900912,4548700.516031951
135,-13627779.964431569,4549874.79659522
136,-13633921.005812982,4539654.8834837945
137,-13632294.645419233,4548804.4136024155
138,-13626050.16399794,4552139.671298293
139,-13628862.997470584,4546019.896025866
140,-13628068.693606818,4547391.890369484
141,-13625415.447577732,4546494.116860798
142,-13629300.976903692,4539187.286793642
143,-13636510.412130479,4542964.87033478
144,-13634085.873225959,4543998.556176177
145,-13630684.158403834,4544854.165471873
146,-13632513.424538968,4540712.161480754
147,-13626691.253417084,4551315.845518496
148,-13627565.639086973,4546255.0208813725
149,-13631286.85830884,4546887.979749281
150,-13631331.480971094,4547799.044324992
151,-13624709.532423664,4542244.591181387
152,-13627805.314436277,4545585.815864305
153,-13632706.932515398,4548549.704650374
154,-13630876.507455584,4551139.6195014855
155,-13626050.478583332,4549842.364227305
156,-13626829.04279229,4549990.256322945
157,-13630367.090633903,4539069.490823313
158,-13628206.57225562,4542146.774288114
159,-13637160.023229402,4545658.667222036
160,-13623457.311338194,4541175.881207219
