,geometry,x,y,cluster
2340020986,POINT (-13629506.384276306 4550982.973326115),-13629506.384276306,4550982.973326115,91
2340083046,POINT (-13629732.696801089 4551240.786952802),-13629732.696801089,4551240.786952802,12
2340083268,POINT (-13629699.000391224 4551244.520366442),-13629699.000391224,4551244.520366442,12
2340083601,POINT (-13629727.130826546 4551217.541199885),-13629727.130826546,4551217.541199885,12
2340730649,POINT (-13626804.21495679 4544532.948820504),-13626804.21495679,4544532.948820504,70
2340735754,POINT (-13626437.973832078 4544555.19410251),-13626437.973832078,4544555.19410251,257
2340867122,POINT (-13626232.377864532 4548742.7994981585),-13626232.377864532,4548742.7994981585,46
2340884147,POINT (-13629601.083767122 4551300.113167281),-13629601.083767122,4551300.113167281,12
2340886392,POINT (-13628316.824197687 4551547.635758031),-13628316.824197687,4551547.635758031,267
2340887349,POINT (-13628291.443353789 4551508.89172291),-13628291.443353789,4551508.89172291,267
2340978814,POINT (-13627519.887963098 4552351.712716012),-13627519.887963098,4552351.712716012,53
2340996333,POINT (-13627491.94677091 4552310.993114598),-13627491.94677091,4552310.993114598,53
2341070273,POINT (-13627193.165257622 4552496.416533643),-13627193.165257622,4552496.416533643,258
2341136282,POINT (-13626640.074367613 4552600.965237453),-13626640.074367613,4552600.965237453,27
2341263219,POINT (-13627974.962041464 4551965.939636446),-13627974.962041464,4551965.939636446,129
2341263252,POINT (-13628083.943822948 4551944.523872846),-13628083.943822948,4551944.523872846,129
2341485060,POINT (-13624325.01857733 4545262.80188917),-13624325.01857733,4545262.80188917,213
2341485061,POINT (-13624270.472026842 4545297.875885517),-13624270.472026842,4545297.875885517,213
2341485062,POINT (-13624183.542636482 4545667.969362063),-13624183.542636482,4545667.969362063,52
2341485063,POINT (-13624154.098631168 4545464.137528037),-13624154.098631168,4545464.137528037,213
2342299361,POINT (-13624839.125381662 4546565.209161216),-13624839.125381662,4546565.209161216,9
2342299368,POINT (-13624718.532977285 4546725.759562398),-13624718.532977285,4546725.759562398,9
2343615613,POINT (-13626565.323329546 4549044.475758258),-13626565.323329546,4549044.475758258,201
2353636746,POINT (-13624762.437384455 4548567.16140294),-13624762.437384455,4548567.16140294,116
2355169185,POINT (-13625833.353149783 4549682.858760213),-13625833.353149783,4549682.858760213,243
2358297160,POINT (-13637078.369435912 4545668.082008556),-13637078.369435912,4545668.082008556,159
2365742146,POINT (-13625672.607805079 4549654.348245266),-13625672.607805079,4549654.348245266,243
2365845676,POINT (-13626688.943624072 4552779.447238078),-13626688.943624072,4552779.447238078,27
2365845685,POINT (-13626684.323865205 4552746.3911316665),-13626684.323865205,4552746.3911316665,27
2365852853,POINT (-13626727.949973647 4552377.314014137),-13626727.949973647,4552377.314014137,256
2365852858,POINT (-13626642.801695138 4552450.299898881),-13626642.801695138,4552450.299898881,256
2365852861,POINT (-13626614.793711254 4552469.730011249),-13626614.793711254,4552469.730011249,256
2365852873,POINT (-13626633.384066217 4552492.908111532),-13626633.384066217,4552492.908111532,256
2365852878,POINT (-13626824.430576317 4552495.35977987),-13626824.430576317,4552495.35977987,256
2365852884,POINT (-13626594.555827828 4552513.268248304),-13626594.555827828,4552513.268248304,256
2365852889,POINT (-13626684.713483423 4552630.625135156),-13626684.713483423,4552630.625135156,27
2365852896,POINT (-13626694.320355479 4552657.199348101),-13626694.320355479,4552657.199348101,27
2375537105,POINT (-13629127.88687566 4548615.810182484),-13629127.88687566,4548615.810182484,134
2382511308,POINT (-13625999.28598276 4550666.758841567),-13625999.28598276,4550666.758841567,246
2383254141,POINT (-13630898.300925285 4548022.110609684),-13630898.300925285,4548022.110609684,127
2383254142,POINT (-13626811.339404197 4548518.400173394),-13626811.339404197,4548518.400173394,110
2383254143,POINT (-13623964.187579876 4543414.368047631),-13623964.187579876,4543414.368047631,102
2383254145,POINT (-13627509.980528416 4548596.429518109),-13627509.980528416,4548596.429518109,186
2383254146,POINT (-13632935.325155364 4546126.098642463),-13632935.325155364,4546126.098642463,51
2383254148,POINT (-13629262.472140027 4551845.631520403),-13629262.472140027,4551845.631520403,71
2383254152,POINT (-13627651.389677571 4549784.829566197),-13627651.389677571,4549784.829566197,135
2383254153,POINT (-13632131.386924803 4549580.071959173),-13632131.386924803,4549580.071959173,235
2383254154,POINT (-13626068.727081116 4550311.0536828535),-13626068.727081116,4550311.0536828535,75
2383254155,POINT (-13623578.988745881 4542757.548351845),-13623578.988745881,4542757.548351845,228
2383254156,POINT (-13625289.345930226 4543772.315470065),-13625289.345930226,4543772.315470065,280
2383254157,POINT (-13628615.438731741 4546710.790150121),-13628615.438731741,4546710.790150121,39
2392286219,POINT (-13632882.259154102 4546301.751893576),-13632882.259154102,4546301.751893576,298
2392300373,POINT (-13633752.198710753 4546115.805121513),-13633752.198710753,4546115.805121513,131
2392311612,POINT (-13632886.155336281 4546388.481250769),-13632886.155336281,4546388.481250769,298
2394661178,POINT (-13627756.363957392 4543548.980514027),-13627756.363957392,4543548.980514027,169
2403912708,POINT (-13626728.996376859 4546022.685126877),-13626728.996376859,4546022.685126877,281
2403914322,POINT (-13626665.098989144 4545985.651397007),-13626665.098989144,4545985.651397007,281
2411607007,POINT (-13627964.46461348 4546739.236276521),-13627964.46461348,4546739.236276521,95
2411692096,POINT (-13627461.534286026 4547976.422229823),-13627461.534286026,4547976.422229823,13
2411698457,POINT (-13628094.430118982 4547874.553638623),-13628094.430118982,4547874.553638623,85
2429468220,POINT (-13625932.249385405 4549628.880420478),-13625932.249385405,4549628.880420478,209
2441003265,POINT (-13632886.099676535 4546351.770100068),-13632886.099676535,4546351.770100068,298
2447630450,POINT (-13624795.900023386 4547796.557871264),-13624795.900023386,4547796.557871264,210
2449308055,POINT (-13631336.53236469 4541546.641160214),-13631336.53236469,4541546.641160214,93
2453599646,POINT (-13624462.119662194 4546851.10635105),-13624462.119662194,4546851.10635105,297
2453600264,POINT (-13624415.83301792 4546854.683284135),-13624415.83301792,4546854.683284135,297
2453600265,POINT (-13624404.489561811 4546855.288828047),-13624404.489561811,4546855.288828047,297
2453601075,POINT (-13624368.66694967 4546853.936916107),-13624368.66694967,4546853.936916107,297
2453601076,POINT (-13624720.31408914 4546743.460955386),-13624720.31408914,4546743.460955386,9
2453601267,POINT (-13624032.69359451 4546171.08891157),-13624032.69359451,4546171.08891157,52
2454878062,POINT (-13628493.833319997 4543267.397208951),-13628493.833319997,4543267.397208951,11
2454979580,POINT (-13627690.785645364 4545967.725992544),-13627690.785645364,4545967.725992544,282
2457582442,POINT (-13625688.51536031 4550104.426264249),-13625688.51536031,4550104.426264249,202
2474058013,POINT (-13628202.499080643 4547546.589457984),-13628202.499080643,4547546.589457984,140
2474058021,POINT (-13628060.255035305 4547668.622417276),-13628060.255035305,4547668.622417276,295
2474072786,POINT (-13627895.591244526 4547963.479103168),-13627895.591244526,4547963.479103168,295
2474072797,POINT (-13627916.396857355 4547962.760823487),-13627916.396857355,4547962.760823487,85
2481430430,POINT (-13624784.166949058 4550636.51286466),-13624784.166949058,4550636.51286466,185
2482675927,POINT (-13628277.773320317 4547905.876046934),-13628277.773320317,4547905.876046934,225
2484268630,POINT (-13627424.865645755 4547923.607613911),-13627424.865645755,4547923.607613911,176
2485515167,POINT (-13627665.159898585 4545642.243751069),-13627665.159898585,4545642.243751069,152
2494567991,POINT (-13627195.669946164 4545887.449284711),-13627195.669946164,4545887.449284711,281
2501316103,POINT (-13628708.30145096 4549215.093343166),-13628708.30145096,4549215.093343166,83
2502767191,POINT (-13627359.409785172 4549130.185637736),-13627359.409785172,4549130.185637736,47
2513314628,POINT (-13628181.148002306 4550856.534277945),-13628181.148002306,4550856.534277945,5
2527519135,POINT (-13628156.57979069 4550725.1097356565),-13628156.57979069,4550725.1097356565,80
2528136835,POINT (-13628526.572382241 4543714.8904487),-13628526.572382241,4543714.8904487,252
2538427496,POINT (-13627416.327440813 4545610.125548694),-13627416.327440813,4545610.125548694,38
2548212356,POINT (-13625789.070256345 4546469.423669708),-13625789.070256345,4546469.423669708,249
2573698071,POINT (-13624806.531034758 4550269.088319532),-13624806.531034758,4550269.088319532,133
2576109617,POINT (-13626234.559726553 4547764.47527487),-13626234.559726553,4547764.47527487,245
2576592003,POINT (-13625731.685058841 4549304.903574266),-13625731.685058841,4549304.903574266,63
2581514561,POINT (-13632381.443896972 4548845.789308782),-13632381.443896972,4548845.789308782,137
2583212731,POINT (-13626545.697703319 4547748.659351743),-13626545.697703319,4547748.659351743,69
2594294765,POINT (-13627283.656871686 4545882.028059424),-13627283.656871686,4545882.028059424,38
2606916558,POINT (-13627770.1564423 4549735.907683114),-13627770.1564423,4549735.907683114,34
2612989373,POINT (-13628380.098196255 4545764.057263543),-13628380.098196255,4545764.057263543,2
2612990005,POINT (-13628385.241156729 4545798.99213796),-13628385.241156729,4545798.99213796,2
2613888359,POINT (-13625951.76369214 4549760.403811781),-13625951.76369214,4549760.403811781,155
2615864296,POINT (-13632793.693367226 4546170.962178145),-13632793.693367226,4546170.962178145,51
2616676496,POINT (-13625186.965394543 4550118.442652249),-13625186.965394543,4550118.442652249,68
2616691213,POINT (-13625451.90578263 4549871.249866803),-13625451.90578263,4549871.249866803,128
2616697582,POINT (-13625583.151462277 4549763.826794674),-13625583.151462277,4549763.826794674,243
2616704054,POINT (-13625623.382326249 4549697.099960711),-13625623.382326249,4549697.099960711,243
2618097136,POINT (-13624646.66511403 4549986.9006500505),-13624646.66511403,4549986.9006500505,133
2622986361,POINT (-13628850.445308754 4544371.080626065),-13628850.445308754,4544371.080626065,45
2623903547,POINT (-13627437.75644279 4548831.718293981),-13627437.75644279,4548831.718293981,96
2624019154,POINT (-13624302.120158076 4549880.899121753),-13624302.120158076,4549880.899121753,287
2624201223,POINT (-13629048.1709883 4546280.981453305),-13629048.1709883,4546280.981453305,299
2624201224,POINT (-13629054.883553596 4546274.123696699),-13629054.883553596,4546274.123696699,299
2624201230,POINT (-13629347.19740447 4545726.968129701),-13629347.19740447,4545726.968129701,50
2625322062,POINT (-13631485.911989389 4543302.09847002),-13631485.911989389,4543302.09847002,35
2625322098,POINT (-13631473.499866161 4543315.979006806),-13631473.499866161,4543315.979006806,35
2626607880,POINT (-13627575.080166636 4544426.341077694),-13627575.080166636,4544426.341077694,113
2626607881,POINT (-13627574.479041385 4544414.401979499),-13627574.479041385,4544414.401979499,113
2627594114,POINT (-13627368.693830702 4545420.431635887),-13627368.693830702,4545420.431635887,98
2627665934,POINT (-13627806.43546435 4543342.979941682),-13627806.43546435,4543342.979941682,169
2627676155,POINT (-13627773.373575585 4543487.755699335),-13627773.373575585,4543487.755699335,169
2627676156,POINT (-13627756.798103405 4543518.065386727),-13627756.798103405,4543518.065386727,169
2627683875,POINT (-13627728.879175114 4543493.133445145),-13627728.879175114,4543493.133445145,169
2627732087,POINT (-13628206.0501724 4543400.304369061),-13628206.0501724,4543400.304369061,11
2629023876,POINT (-13628710.427653236 4543282.995165145),-13628710.427653236,4543282.995165145,11
2629113680,POINT (-13628683.15437799 4545740.880059644),-13628683.15437799,4545740.880059644,2
2636164497,POINT (-13627649.308003094 4544492.428739019),-13627649.308003094,4544492.428739019,227
2639227318,POINT (-13626545.864682557 4551193.436113371),-13626545.864682557,4551193.436113371,20
2639373746,POINT (-13628232.28817638 4546268.505127403),-13628232.28817638,4546268.505127403,259
2652836518,POINT (-13628771.998463592 4549202.796613677),-13628771.998463592,4549202.796613677,83
2653002566,POINT (-13629724.704061648 4547637.019053192),-13629724.704061648,4547637.019053192,32
2653086008,POINT (-13627420.323810533 4545646.467984966),-13627420.323810533,4545646.467984966,38
2653086697,POINT (-13627717.702698236 4545586.343217155),-13627717.702698236,4545586.343217155,152
2653087230,POINT (-13627875.553736184 4545610.829585387),-13627875.553736184,4545610.829585387,152
2653235898,POINT (-13629090.973332513 4552181.085970432),-13629090.973332513,4552181.085970432,207
2655462967,POINT (-13631099.733543877 4546486.124810782),-13631099.733543877,4546486.124810782,18
2655466372,POINT (-13629852.042427167 4547463.540263049),-13629852.042427167,4547463.540263049,32
2655525579,POINT (-13632885.376099842 4546340.899005479),-13632885.376099842,4546340.899005479,298
2655525593,POINT (-13634053.551704276 4547942.099740949),-13634053.551704276,4547942.099740949,216
2655525613,POINT (-13634219.863023525 4547937.283052754),-13634219.863023525,4547937.283052754,216
2655525620,POINT (-13634745.101776931 4548915.553089487),-13634745.101776931,4548915.553089487,188
2655525650,POINT (-13635891.89290719 4548605.922658795),-13635891.89290719,4548605.922658795,64
2655525658,POINT (-13635844.71570699 4548608.162139834),-13635844.71570699,4548608.162139834,64
2655525665,POINT (-13635853.521078713 4548608.162139834),-13635853.521078713,4548608.162139834,64
2655539040,POINT (-13636035.829008784 4548371.469969499),-13636035.829008784,4548371.469969499,264
2656720873,POINT (-13627851.05231626 4550248.619877094),-13627851.05231626,4550248.619877094,270
2656775523,POINT (-13627645.422952866 4544465.748646329),-13627645.422952866,4544465.748646329,227
2657227473,POINT (-13626529.645432746 4547120.407784613),-13626529.645432746,4547120.407784613,208
2657227481,POINT (-13625839.631569065 4546981.834195757),-13625839.631569065,4546981.834195757,286
2657227486,POINT (-13625947.644870983 4547632.44192508),-13625947.644870983,4547632.44192508,125
2657881653,POINT (-13625683.695226362 4549748.557200667),-13625683.695226362,4549748.557200667,243
2657930588,POINT (-13628060.232771408 4545820.676883157),-13628060.232771408,4545820.676883157,282
2664376336,POINT (-13627778.583327752 4544328.913930847),-13627778.583327752,4544328.913930847,203
2666409799,POINT (-13627822.487734921 4544435.309489465),-13627822.487734921,4544435.309489465,227
2670905250,POINT (-13624724.277063012 4550013.214552171),-13624724.277063012,4550013.214552171,133
2671868130,POINT (-13626943.809598245 4548443.779877806),-13626943.809598245,4548443.779877806,110
2671868131,POINT (-13625502.556150943 4550507.035155953),-13625502.556150943,4550507.035155953,167
2671868132,POINT (-13625830.058092855 4550395.647015825),-13625830.058092855,4550395.647015825,202
2671868139,POINT (-13626081.083544595 4549267.224313011),-13626081.083544595,4549267.224313011,132
2671868143,POINT (-13624975.458362035 4547917.143123327),-13624975.458362035,4547917.143123327,277
2671868146,POINT (-13624421.86653432 4549749.360121565),-13624421.86653432,4549749.360121565,287
2671868150,POINT (-13625616.658629008 4549086.548868105),-13625616.658629008,4549086.548868105,237
2671868155,POINT (-13624697.048315562 4548713.305612601),-13624697.048315562,4548713.305612601,193
2682478749,POINT (-13634032.033646708 4548979.866328739),-13634032.033646708,4548979.866328739,123
2682480971,POINT (-13625947.644870983 4549024.812588797),-13625947.644870983,4549024.812588797,36
2689861324,POINT (-13627186.241185293 4549592.833976308),-13627186.241185293,4549592.833976308,111
2695027029,POINT (-13624775.517424624 4547994.210252772),-13624775.517424624,4547994.210252772,31
2698381301,POINT (-13627547.283689782 4549306.523433415),-13627547.283689782,4549306.523433415,47
2698395558,POINT (-13627808.37242349 4549795.126715136),-13627808.37242349,4549795.126715136,135
2699012383,POINT (-13628148.041585745 4550435.246229437),-13628148.041585745,4550435.246229437,80
2710274163,POINT (-13633923.43035149 4540168.836322479),-13633923.43035149,4540168.836322479,22
2712078675,POINT (-13632807.240949256 4546170.412999985),-13632807.240949256,4546170.412999985,51
2712083528,POINT (-13632818.139127403 4546170.5538148945),-13632818.139127403,4546170.5538148945,51
2713394902,POINT (-13634206.883170897 4540165.754252155),-13634206.883170897,4540165.754252155,22
2713422338,POINT (-13634242.472012104 4540291.3176903855),-13634242.472012104,4540291.3176903855,22
2713423199,POINT (-13633932.647605328 4540251.742948786),-13633932.647605328,4540251.742948786,22
2713438126,POINT (-13634658.472949198 4540413.209401434),-13634658.472949198,4540413.209401434,240
2713441806,POINT (-13633974.648449205 4540196.15279381),-13633974.648449205,4540196.15279381,22
2713447257,POINT (-13634514.002514048 4540386.117540137),-13634514.002514048,4540386.117540137,240
2713449215,POINT (-13634467.927376807 4540313.708729151),-13634467.927376807,4540313.708729151,240
2714942365,POINT (-13634559.265019005 4540425.7631605165),-13634559.265019005,4540425.7631605165,240
2714942366,POINT (-13634673.033538595 4540418.304086594),-13634673.033538595,4540418.304086594,240
2714942368,POINT (-13634477.45632522 4540112.444431102),-13634477.45632522,4540112.444431102,22
2714942369,POINT (-13634804.401669681 4540383.471689407),-13634804.401669681,4540383.471689407,240
2714942370,POINT (-13634660.343116643 4540498.060159233),-13634660.343116643,4540498.060159233,240
2715014432,POINT (-13632901.12780779 4546075.687241614),-13632901.12780779,4546075.687241614,1
2715021824,POINT (-13632846.158243237 4546168.103635739),-13632846.158243237,4546168.103635739,51
2715894985,POINT (-13634800.071341489 4540464.536357167),-13634800.071341489,4540464.536357167,240
2718062342,POINT (-13628879.076681787 4547250.406696687),-13628879.076681787,4547250.406696687,79
2718062344,POINT (-13628880.546099065 4547256.50461639),-13628880.546099065,4547256.50461639,79
2718062345,POINT (-13628876.983875358 4547271.390315282),-13628876.983875358,4547271.390315282,79
2722757446,POINT (-13627328.752397405 4546071.65997263),-13627328.752397405,4546071.65997263,148
2724725641,POINT (-13634283.893994628 4540250.659289769),-13634283.893994628,4540250.659289769,22
2726201090,POINT (-13634261.99745079 4540240.019734476),-13634261.99745079,4540240.019734476,22
2726290724,POINT (-13634745.224228375 4540391.057401547),-13634745.224228375,4540391.057401547,240
2741195016,POINT (-13628592.139562318 4546885.551986072),-13628592.139562318,4546885.551986072,292
2750810774,POINT (-13629479.422695635 4550840.389636542),-13629479.422695635,4550840.389636542,91
2750810779,POINT (-13629488.973907944 4550898.473834298),-13629488.973907944,4550898.473834298,91
2778354089,POINT (-13630959.036839463 4541597.129178827),-13630959.036839463,4541597.129178827,93
2783222076,POINT (-13631745.687153103 4548621.570866568),-13631745.687153103,4548621.570866568,115
2786939583,POINT (-13629726.028763589 4547894.665318023),-13629726.028763589,4547894.665318023,105
2789555933,POINT (-13625331.491489442 4548950.625306049),-13625331.491489442,4548950.625306049,237
2797770808,POINT (-13627344.103355188 4545161.579364046),-13627344.103355188,4545161.579364046,238
2814613117,POINT (-13625831.438454542 4550766.6261311015),-13625831.438454542,4550766.6261311015,247
2815132110,POINT (-13627515.524239058 4547944.761595909),-13627515.524239058,4547944.761595909,13
2815191083,POINT (-13624540.700090744 4548221.8376598945),-13624540.700090744,4548221.8376598945,31
2819234080,POINT (-13628164.327627249 4547157.206142007),-13628164.327627249,4547157.206142007,140
2819250395,POINT (-13627880.652168863 4545208.043886916),-13627880.652168863,4545208.043886916,87
2823796133,POINT (-13625635.49388685 4550412.960207366),-13625635.49388685,4550412.960207366,167
2840131401,POINT (-13624560.125341889 4550155.899604858),-13624560.125341889,4550155.899604858,133
2840135401,POINT (-13624651.963921791 4550189.229221724),-13624651.963921791,4550189.229221724,133
2840137601,POINT (-13624634.820720209 4550236.476883468),-13624634.820720209,4550236.476883468,133
2840142901,POINT (-13624730.110204328 4550333.25496398),-13624730.110204328,4550333.25496398,133
2869009137,POINT (-13627770.323421538 4550924.184260604),-13627770.323421538,4550924.184260604,191
2869372593,POINT (-13625299.965809649 4549595.510339503),-13625299.965809649,4549595.510339503,296
2869484061,POINT (-13624859.341001192 4549363.908867127),-13624859.341001192,4549363.908867127,195
2879135417,POINT (-13627319.201185096 4544291.182274807),-13627319.201185096,4544291.182274807,113
2879135418,POINT (-13627523.160756126 4544278.764647745),-13627523.160756126,4544278.764647745,113
2879135419,POINT (-13627559.462042077 4544271.781498893),-13627559.462042077,4544271.781498893,113
2879135420,POINT (-13626675.384910094 4548974.020934688),-13626675.384910094,4548974.020934688,201
2880721207,POINT (-13627897.928953834 4550320.604735806),-13627897.928953834,4550320.604735806,270
2880793633,POINT (-13627882.62252385 4550246.577261166),-13627882.62252385,4550246.577261166,270
2881830801,POINT (-13625725.640410492 4546461.692712126),-13625725.640410492,4546461.692712126,249
2881830804,POINT (-13627275.653000297 4547758.165803103),-13627275.653000297,4547758.165803103,176
2886302532,POINT (-13624578.1145716 4548576.879872865),-13624578.1145716,4548576.879872865,193
2886430256,POINT (-13627542.207521003 4547860.821947063),-13627542.207521003,4547860.821947063,13
2895323815,POINT (-13627678.462577732 4547719.942879534),-13627678.462577732,4547719.942879534,13
2905105742,POINT (-13626455.061373917 4547835.795105539),-13626455.061373917,4547835.795105539,245
2906479369,POINT (-13626648.968794929 4548179.37368667),-13626648.968794929,4548179.37368667,279
2910193073,POINT (-13626633.406330116 4548167.064096298),-13626633.406330116,4548167.064096298,279
2918242338,POINT (-13627692.934111536 4552229.991170238),-13627692.934111536,4552229.991170238,53
2919230585,POINT (-13627874.38488153 4543178.005040336),-13627874.38488153,4543178.005040336,120
2919360803,POINT (-13630890.697804065 4551105.469222816),-13630890.697804065,4551105.469222816,154
2923578988,POINT (-13626285.73329647 4550444.61426181),-13626285.73329647,4550444.61426181,198
2923715576,POINT (-13624978.463988287 4549049.602837204),-13624978.463988287,4549049.602837204,195
2926858615,POINT (-13626480.675988747 4547169.26104741),-13626480.675988747,4547169.26104741,208
2932574334,POINT (-13626697.6822041 4552643.249991378),-13626697.6822041,4552643.249991378,27
2936606509,POINT (-13625183.959768292 4545922.483141101),-13625183.959768292,4545922.483141101,82
2936612050,POINT (-13625136.537665213 4545926.848300274),-13625136.537665213,4545926.848300274,82
2937336925,POINT (-13627940.119040843 4547990.928691225),-13627940.119040843,4547990.928691225,85
2941409392,POINT (-13625930.690912534 4549872.10914316),-13625930.690912534,4549872.10914316,222
2956095526,POINT (-13626952.948928438 4547337.453782572),-13626952.948928438,4547337.453782572,166
2956811059,POINT (-13626870.260810677 4550012.453870982),-13626870.260810677,4550012.453870982,156
2957504173,POINT (-13626668.371782174 4550133.726875752),-13626668.371782174,4550133.726875752,156
2960339704,POINT (-13626231.097690389 4547151.60117906),-13626231.097690389,4547151.60117906,33
2960416136,POINT (-13626454.827602986 4547624.696020552),-13626454.827602986,4547624.696020552,69
2963068433,POINT (-13627960.379188165 4550738.633891079),-13627960.379188165,4550738.633891079,80
2963068434,POINT (-13627976.509382384 4550653.093903994),-13627976.509382384,4550653.093903994,80
2983919102,POINT (-13627797.529905086 4547613.218008984),-13627797.529905086,4547613.218008984,295
2983919104,POINT (-13627806.90300621 4547611.584329838),-13627806.90300621,4547611.584329838,295
2988910736,POINT (-13626626.994327446 4547713.253178158),-13626626.994327446,4547713.253178158,69
2992785764,POINT (-13628623.53165872 4544390.368954224),-13628623.53165872,4544390.368954224,45
2996292602,POINT (-13628583.823996356 4544421.202195309),-13628583.823996356,4544421.202195309,45
3002990370,POINT (-13628757.070519876 4544380.1757019),-13628757.070519876,4544380.1757019,45
3008209423,POINT (-13628792.4367221 4544404.011596215),-13628792.4367221,4544404.011596215,45
3008209425,POINT (-13628732.524572156 4544409.122311901),-13628732.524572156,4544409.122311901,45
3009189224,POINT (-13627657.501117619 4546962.160838774),-13627657.501117619,4546962.160838774,95
3018371855,POINT (-13625010.401550198 4550481.692030565),-13625010.401550198,4550481.692030565,263
3018371856,POINT (-13625046.179634538 4550562.370443542),-13625046.179634538,4550562.370443542,263
3018753922,POINT (-13627852.510601588 4550238.942107245),-13627852.510601588,4550238.942107245,270
3018753923,POINT (-13627850.90760092 4550232.377569791),-13627850.90760092,4550232.377569791,270
3022661942,POINT (-13628473.072234966 4543042.749812383),-13628473.072234966,4543042.749812383,11
3023246624,POINT (-13628902.119816381 4544395.986510527),-13628902.119816381,4544395.986510527,45
3061387376,POINT (-13625861.973390868 4549460.552061451),-13625861.973390868,4549460.552061451,209
3064415733,POINT (-13626451.354434874 4551064.810850426),-13626451.354434874,4551064.810850426,20
3067763433,POINT (-13629762.263257843 4547857.991108285),-13629762.263257843,4547857.991108285,105
3067889333,POINT (-13626415.075412823 4551077.588776398),-13626415.075412823,4551077.588776398,255
3069400840,POINT (-13631017.924850093 4546956.429237826),-13631017.924850093,4546956.429237826,86
3085515638,POINT (-13625238.2836798 4549739.908197026),-13625238.2836798,4549739.908197026,128
3085522026,POINT (-13625261.549453376 4549718.835084689),-13625261.549453376,4549718.835084689,128
3088433533,POINT (-13627176.378278408 4544530.217441052),-13627176.378278408,4544530.217441052,17
3100972029,POINT (-13634351.776620112 4542207.339929006),-13634351.776620112,4542207.339929006,278
3106243623,POINT (-13626796.723155059 4545235.838218761),-13626796.723155059,4545235.838218761,174
3111652169,POINT (-13626966.240475638 4551758.194500281),-13626966.240475638,4551758.194500281,103
3123283504,POINT (-13625373.837423738 4550395.999196001),-13625373.837423738,4550395.999196001,167
3123283505,POINT (-13625401.667296436 4550351.6527620135),-13625401.667296436,4550351.6527620135,167
3128037229,POINT (-13628495.113494143 4543751.21219547),-13628495.113494143,4543751.21219547,252
3136295373,POINT (-13627340.852826055 4547336.045475764),-13627340.852826055,4547336.045475764,230
3137696598,POINT (-13632456.684740799 4546190.49322534),-13632456.684740799,4546190.49322534,229
3137707281,POINT (-13632979.095979143 4546160.189842624),-13632979.095979143,4546160.189842624,298
3146197207,POINT (-13626919.408365862 4552402.267238754),-13626919.408365862,4552402.267238754,256
3146247007,POINT (-13627243.893549576 4552341.624384688),-13627243.893549576,4552341.624384688,258
3148123212,POINT (-13626458.65699347 4550931.383191354),-13626458.65699347,4550931.383191354,244
3148249592,POINT (-13626866.58726748 4551473.937682638),-13626866.58726748,4551473.937682638,147
3148258801,POINT (-13626839.169276899 4551450.81820661),-13626839.169276899,4551450.81820661,147
3166823784,POINT (-13628489.881478075 4543689.760942193),-13628489.881478075,4543689.760942193,252
3166823797,POINT (-13628485.606809627 4543610.191610462),-13628485.606809627,4543610.191610462,252
3171572682,POINT (-13624895.920585865 4540714.419347408),-13624895.920585865,4540714.419347408,104
3174203338,POINT (-13624701.300720112 4549988.112102327),-13624701.300720112,4549988.112102327,133
3179218473,POINT (-13628517.165885268 4543597.08497239),-13628517.165885268,4543597.08497239,252
3184077145,POINT (-13627837.426810587 4544626.970659119),-13627837.426810587,4544626.970659119,227
3184077146,POINT (-13627837.37115084 4544611.45516697),-13627837.37115084,4544611.45516697,227
3184077152,POINT (-13627832.205926469 4544566.809537627),-13627832.205926469,4544566.809537627,227
3186093217,POINT (-13625760.193980433 4549768.54572355),-13625760.193980433,4549768.54572355,243
3188130237,POINT (-13627607.073388288 4546315.819489872),-13627607.073388288,4546315.819489872,148
3188130248,POINT (-13627563.480675692 4546320.452366084),-13627563.480675692,4546320.452366084,148
3188130257,POINT (-13627472.220957141 4546288.543296935),-13627472.220957141,4546288.543296935,148
3189444967,POINT (-13631707.293060727 4548621.472272925),-13631707.293060727,4548621.472272925,42
3189444968,POINT (-13631831.392029064 4548614.007328462),-13631831.392029064,4548614.007328462,115
3189444970,POINT (-13631617.736530386 4548557.386603209),-13631617.736530386,4548557.386603209,42
3189444971,POINT (-13631563.201111846 4548582.105314792),-13631563.201111846,4548582.105314792,42
3189444972,POINT (-13631404.414990177 4548613.345343078),-13631404.414990177,4548613.345343078,42
3189444973,POINT (-13631324.877214005 4548624.148386395),-13631324.877214005,4548624.148386395,42
3189511930,POINT (-13626179.245071577 4550648.487274441),-13626179.245071577,4550648.487274441,246
3189513327,POINT (-13626167.601052841 4550651.177996654),-13626167.601052841,4550651.177996654,246
3189528511,POINT (-13627493.126757514 4548953.977596391),-13627493.126757514,4548953.977596391,96
3190914162,POINT (-13627888.756227791 4546097.61194658),-13627888.756227791,4546097.61194658,282
3190922045,POINT (-13626774.303409614 4549179.794866586),-13626774.303409614,4549179.794866586,19
3190942919,POINT (-13627023.781520428 4549484.582704971),-13627023.781520428,4549484.582704971,221
3197341206,POINT (-13628465.213078916 4543323.116369129),-13628465.213078916,4543323.116369129,11
3197341210,POINT (-13628464.723273154 4543311.910571695),-13628464.723273154,4543311.910571695,11
3199949652,POINT (-13626835.339886416 4551876.599561605),-13626835.339886416,4551876.599561605,288
3201049452,POINT (-13624730.700197628 4550167.239551282),-13624730.700197628,4550167.239551282,133
